Date,Temp
2007-01,4.1
2007-02,1.9
2007-03,6.6
2007-04,10.3
2007-05,16.2
2007-06,19.5
2007-07,20.4
2007-08,19.7
2007-09,12.8
2007-10,8.0
2007-11,1.5
2007-12,-0.2
2008-01,2.0
2008-02,2.9
2008-03,4.4
2008-04,9.7
2008-05,14.5
2008-06,19.2
2008-07,19.6
2008-08,19.2
2008-09,13.0
2008-10,10.5
2008-11,5.6
2008-12,1.7
2009-01,-2.4
2009-02,-0.3
2009-03,3.4
2009-04,12.1
2009-05,14.6
2009-06,17.1
2009-07,20.7
2009-08,19.4
2009-09,15.6
2009-10,8.3
2009-11,5.8
2009-12,0.0
2010-01,-5.6
2010-02,-1.2
2010-03,4.0
2010-04,9.8
2010-05,13.7
2010-06,18.1
2010-07,21.4
2010-08,19.3
2010-09,12.8
2010-10,6.1
2010-11,7.0
2010-12,-4.2
2011-01,0.1
2011-02,-1.9
2011-03,4.4
2011-04,11.2
2011-05,14.6
2011-06,19.2
2011-07,18.4
2011-08,19.8
2011-09,15.9
2011-10,9.1
2011-11,2.9
2011-12,2.6
2012-01,-0.5
2012-02,-5.9
2012-03,5.3
2012-04,10.7
2012-05,16.0
2012-06,18.9
2012-07,21.2
2012-08,19.7
2012-09,15.1
2012-10,9.1
2012-11,5.8
2012-12,-1.8
2013-01,-1.9
2013-02,0.2
2013-03,-0.2
2013-04,9.8
2013-05,15.1
2013-06,18.3
2013-07,20.3
2013-08,19.6
2013-09,12.7
2013-10,10.7
2013-11,5.7
2013-12,2.2
2014-01,-0.4
2014-02,3.0
2014-03,7.2
2014-04,11.0
2014-05,14.7
2014-06,17.3
2014-07,20.9
2014-08,18.1
2014-09,15.4
2014-10,10.1
2014-11,6.4
2014-12,1.8
2015-01,2.0
2015-02,1.5
2015-03,5.5
2015-04,9.6
2015-05,14.0
2015-06,18.4
2015-07,21.4
2015-08,21.9
2015-09,15.5
2015-10,8.1
2015-11,6.1
2015-12,4.6
2016-01,-1.6
2016-02,4.6
2016-03,5.4
2016-04,10.2
2016-05,15.1
2016-06,19.7
2016-07,20.3
2016-08,18.7
2016-09,16.1
2016-10,8.4
2016-11,4.2
2016-12,0.9
2017-01,-4.5
2017-02,1.0
2017-03,6.9
2017-04,8.4
2017-05,14.7
2017-06,19.9
2017-07,20.1
2017-08,20.7
2017-09,14.0
2017-10,10.2
2017-11,5.0
2017-12,2.6
2018-01,1.7
2018-02,-2.3
2018-03,1.3
2018-04,14.5
2018-05,17.7
2018-06,19.6
2018-07,21.3
2018-08,22.2